Country,Region,Area (sq. km.),Population,Population growth (%),Pop. density (per sq. km.),Literacy rate (%),Life expectancy (years),Birth rate (per 1000),Death rate  (per 1000),Infant mortality (per 1000 births),Urban population (% of total population),Rural population (% of total population),"Unemployment, total (% of total labor)",Phones (per 100 people),Internet Users (% population),Access to electricity (% of population),Forest area (% of land area),Agricultural land (% of land area),Inflation (annual %),Women Seats In Parliament (%),Political Stability And Absence Of Violence/Terrorism(%),Human Capital Index,Net migration,Govt. Debt (% of GDP),Military expenditure (% of GDP),Education expenditure (% of GDP),Health expenditure (% of GDP),Agriculture contribution (% of GDP),Industry contribution (% of GDP),Service contribution (% of GDP),Remittances (% of GDP),GDP (current US$),GDP per capita (current US$),GDP growth (annual %)
Aruba,Latin America & Caribbean,180,106537,-0.04504462,592.138889,97.99,75.723,8.102,9.69,12.925,43.866,56.134,8.8,132.2888,97.2,100,2.33333333,11.11111111,4.2575,26.1,100,0.69,501,104,0,0.2185,10.89064,0.7,33.3,66,1.1508449,3126019399,29342.1009,17.17250851
Afghanistan,South Asia,652230,40099462,2.851357654,59.7522806,37.26604,62.575,36.051,7.113,45,26.314,73.686,13.283,58.19021,18.4,97.69999695,1.85278199,58.80747589,9.1,27.016129,3.3,0.36240539,-183672,9.8,1.35885693,2.86085939,13.2422018,33.484499,15.589008,46.5051137,3.91649605,14786861638,368.754614,-20.7371456
Angola,Sub-Saharan Africa,1246700,34503774,3.166029862,26.8135766,72.28,62.261,39.271,7.821,48.3,67.46,32.54,8.52999973,44.42373,36,46.89060974,53.4269512,45.68259405,25.75426565,29.5454545,33.49,0.36,29089,118.7,1.13205982,2.4152,2.53335953,7.94415949,44.1161601,46.4545233,0.01873939,67404287260,1953.53376,1.1
Albania,Europe & Central Asia,27400,2811666,-0.92691806,103.571131,98.45,76.989,10.285,10.785,8.8,62.969,37.031,11.8190002,92.31992,79.32372,100,28.7919708,42.53850365,2.041471631,35.7142857,59.91,0.6730119,-10612,84.05861908,1.41563593,3.0999999,6.10934,17.6640593,21.8236782,47.7127386,9.41247019,18255787479,6492.87201,8.515501123
Andorra,Europe & Central Asia,470,79034,1.702288225,165.319149,100,83.5,6.91,7.86,2.4,87.858,12.142,3.1,120.9781,91.6,100,34.0425532,39.82978723,2.1,46.4285714,100,0.60214472,1377,40.6,0.2,2.88000011,6.71158504,0.6,4.5,94.9,0.5,3330281524,42137.3273,8.949417981
United Arab Emirates,Middle East & North Africa,71020,9365145,0.834812788,130.770051,98.12636,78.946,10.62,1.766,5.6,87.299,12.701,3.35800004,197.8439,100,100,4.46775556,5.488594762,3.61,50,86.32,0.68,-2762,16.6,4.6,3.87986994,4.27504921,0.91402594,47.4834808,51.6024933,2.5,4.15022E+11,44315.5542,3.91629608
Argentina,Latin America & Caribbean,2736690,45808747,0.947490959,16.5808926,0.9951,75.892,14.125,8.509,7.6,92.229,7.771,10.9020004,130.455,87.14829,100,10.4407149,39.60322861,2.99,44.7470817,54.72,0.5957039,2344,96.5,0.565318,5.01604986,9.5100708,7.13154105,23.579473,52.5050667,0.18709779,4.87227E+11,10636.1202,10.39824946
Armenia,Europe & Central Asia,28470,2790974,-0.52296324,98.5461187,99.78861,72.173,12.455,12.792,9.7,63.431,36.569,20.8969994,128.9614,76.5077,100,11.5374078,58.8689849,7.184836294,33.6448598,30.66,0.77023953,-12825,63.40121401,4.44012109,2.77138996,11.3352642,11.3374775,26.6414047,52.7957439,11.6162184,13861409969,4966.51347,5.7
American Samoa,East Asia & Pacific,200,45035,-2.53017093,230.945,99.1,72.77,12.7,5.6,12.38,87.169,12.831,9.84,14.11,40.3,100,85.65,20.05,0.9005,0,98.11,0.74673975,-1646,15.6,18.1,9.1,8.21208,25.3,22.8,51.9,2.4,709000000,15743.3108,-1.86625194
Antigua and Barbuda,Latin America & Caribbean,440,93219,0.597151595,210.6,98.95,78.841,12.16,5.961,5.4,24.38,75.62,11,198.5669,76,100,18.4545455,20.45454545,2.062996385,11.1111111,96.23,0.57776755,0,69.2,0,3.83625007,4.44295979,2.16286845,21.8890041,64.4923012,3.40841172,1471125926,15781.3957,5.27084884
